imdb_title_id,year,genre,colors,genre_1,genre_2,genre_3,color_1,color_2,color_3,color_4,color_5
tt0082846,1981,Drama,"['olive', 'black', 'yellow', 'white', 'olive']",Drama,,,olive, black, yellow, white, olive
tt0082853,1981,"Comedy, Drama","['maroon', 'silver', 'gray', 'black', 'silver']",Comedy, Drama,,maroon, silver, gray, black, silver
tt0082869,1981,"Action, Crime, Sci-Fi","['black', 'silver', 'gray', 'black', 'gray']",Action, Crime, Sci-Fi,black, silver, gray, black, gray
tt0082886,1981,"Comedy, Romance","['gray', 'white', 'black', 'silver', 'gray']",Comedy, Romance,,gray, white, black, silver, gray
tt0082894,1981,"Drama, Musical, Romance","['maroon', 'silver', 'gray', 'black', 'gray']",Drama, Musical, Romance,maroon, silver, gray, black, gray
tt0082934,1981,"Crime, Drama, Romance","['black', 'olive', 'olive', 'maroon', 'silver']",Crime, Drama, Romance,black, olive, olive, maroon, silver
tt0082945,1981,"Crime, Drama","['black', 'white', 'gray', 'silver', 'teal']",Crime, Drama,,black, white, gray, silver, teal
tt0082948,1981,Comedy,"['silver', 'black', 'silver', 'gray', 'purple']",Comedy,,,silver, black, silver, gray, purple
tt0082958,1981,"Adventure, Crime, Thriller","['gray', 'white', 'maroon', 'gray', 'red']",Adventure, Crime, Thriller,gray, white, maroon, gray, red
tt0082969,1981,Drama,"['maroon', 'yellow', 'white', 'olive', 'black']",Drama,,,maroon, yellow, white, olive, black
tt0082970,1981,Drama,"['olive', 'gray', 'white', 'black', 'yellow']",Drama,,,olive, gray, white, black, yellow
tt0082971,1981,"Action, Adventure","['maroon', 'white', 'olive', 'maroon', 'silver']",Action, Adventure,,maroon, white, olive, maroon, silver
tt0082979,1981,"Biography, Drama, History","['black', 'gray', 'maroon', 'silver', 'red']",Biography, Drama, History,black, gray, maroon, silver, red
tt0082992,1981,Drama,"['black', 'silver', 'white', 'maroon', 'gray']",Drama,,,black, silver, white, maroon, gray
